Date,Open,High,Low,Close,Adj Close,Volume,Stock
2023-05-09,1849.061035,1860.67,1832.91,1848.603149,1848.603149,6129516088,ETHUSD
2023-05-10,1848.213501,1886.8,1795.67,1842.401489,1842.401489,9945549603,ETHUSD
2023-05-11,1842.492065,1842.49,1774.13,1796.490601,1796.490601,8353828312,ETHUSD
2023-05-12,1795.176636,1812.42,1742.4,1808.019775,1808.019775,9047198660,ETHUSD
2023-05-13,1808.375,1816.06,1788.48,1796.114868,1796.114868,4647630864,ETHUSD
2023-05-14,1796.10791,1823.49,1793.23,1800.500977,1800.500977,4711210241,ETHUSD
2023-05-15,1800.371216,1845.7,1787.54,1817.549927,1817.549927,6748889346,ETHUSD
2023-05-16,1816.824219,1830.35,1797.84,1824.12146,1824.12146,5595959668,ETHUSD
2023-05-17,1824.068359,1835.55,1786.67,1821.859619,1821.859619,6352161579,ETHUSD
2023-05-18,1822.068237,1831.45,1774.2,1801.728516,1801.728516,5673124255,ETHUSD
2023-05-19,1800.994385,1826.19,1797.43,1812.589478,1812.589478,4796110259,ETHUSD
2023-05-20,1812.766113,1829.01,1808.05,1820.478027,1820.478027,2951655969,ETHUSD
2023-05-21,1820.138062,1827.92,1799.95,1804.531372,1804.531372,3386768865,ETHUSD
2023-05-22,1804.841919,1826.7,1793.22,1817.53479,1817.53479,4534841049,ETHUSD
2023-05-23,1817.781128,1869.34,1816.29,1854.380615,1854.380615,6820047160,ETHUSD
2023-05-24,1854.299683,1854.3,1780.93,1800.099976,1800.099976,7101647419,ETHUSD
2023-05-25,1799.845215,1815.99,1763.37,1805.953735,1805.953735,6321689859,ETHUSD
2023-05-26,1805.725464,1837.87,1798.41,1828.689697,1828.689697,5451414258,ETHUSD
2023-05-27,1828.575684,1836.18,1817.49,1831.118286,1831.118286,3216737652,ETHUSD
2023-05-28,1831.098633,1915.72,1825.47,1910.914185,1910.914185,6359610561,ETHUSD
2023-05-29,1909.297485,1926.42,1879.08,1893.078125,1893.078125,5884674572,ETHUSD
2023-05-30,1893.09314,1916.57,1883.93,1901.026611,1901.026611,5363439784,ETHUSD
2023-05-31,1901.098267,1907.04,1852.09,1874.130493,1874.130493,5984512548,ETHUSD
2023-06-01,1873.914673,1887.71,1846.23,1862.201416,1862.201416,5640027197,ETHUSD
2023-06-02,1862.423706,1910.28,1851.96,1907.256592,1907.256592,6097746022,ETHUSD
2023-06-03,1907.420776,1908.82,1885.49,1892.412476,1892.412476,3472274607,ETHUSD
2023-06-04,1892.398193,1912.21,1885.65,1890.51355,1890.51355,3747042696,ETHUSD
2023-06-05,1890.417603,1890.64,1780.21,1811.828369,1811.828369,9246593033,ETHUSD
2023-06-06,1810.581421,1896.22,1801.41,1884.494873,1884.494873,8704411776,ETHUSD
2023-06-07,1884.372925,1893.81,1822.3,1832.395996,1832.395996,7919894455,ETHUSD
2023-06-08,1832.51355,1861.14,1830.17,1846.30188,1846.30188,4536041931,ETHUSD
2023-06-09,1846.077881,1854.82,1828.54,1840.22522,1840.22522,4610831509,ETHUSD
2023-06-10,1840.391968,1844.79,1721.44,1752.384766,1752.384766,10788500406,ETHUSD
2023-06-11,1752.527588,1776.85,1741.11,1753.415283,1753.415283,4559112981,ETHUSD
2023-06-12,1753.075439,1757.66,1722.91,1742.528687,1742.528687,6031384958,ETHUSD
2023-06-13,1742.390137,1761.96,1727.75,1739.037598,1739.037598,6214125203,ETHUSD
2023-06-14,1739.250122,1749.16,1637.19,1650.519287,1650.519287,7462905534,ETHUSD
2023-06-15,1650.498169,1676.41,1624.14,1665.519775,1665.519775,7328564880,ETHUSD
2023-06-16,1665.410645,1727.29,1653.17,1716.668823,1716.668823,6281023479,ETHUSD
2023-06-17,1716.671753,1766.76,1714.15,1727.204102,1727.204102,4875187477,ETHUSD
2023-06-18,1727.193726,1746.51,1718.11,1720.577515,1720.577515,3820038842,ETHUSD
2023-06-19,1720.505371,1745.13,1705.81,1737.659424,1737.659424,5210480121,ETHUSD
2023-06-20,1736.879761,1793.31,1715.34,1792.119995,1792.119995,7171072578,ETHUSD
2023-06-21,1791.994995,1898.67,1788.49,1891.007202,1891.007202,11731457711,ETHUSD
